id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1573,"Set pink 'Nohi'","Conjunto de blusa con botones y moñitos laterales color rosa, falda con botones color rosa. Disponible en tallas XS, S, M, L, XL",https://malaelsv.com/wp-content/uploads/2022/07/187234290_1124240204720076_3729356747843117467_n.jpeg,https://malaelsv.com/product/malael-25/,"Conjuntos","Malael",33.55USD,in stock,wc_post_id_1573,,"https://malaelsv.com/wp-content/uploads/2022/07/185831527_786830625591507_7160108975042833238_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/183650188_267321441812457_4026972653886313843_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/192015762_1004618106740040_6881778401947498350_n.jpeg",,,new,published,,,,,,,
wc_post_id_1552,"Set pink estampado floral","Conjunto con top corto con cordón delantero y falda fruncida en tiempos. Set completo color rosa disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/183824564_1115506038916809_7707759391625655476_n.jpeg,https://malaelsv.com/product/malael-24/,"Conjuntos","Malael",30USD,in stock,wc_post_id_1552,,"https://malaelsv.com/wp-content/uploads/2022/07/188406674_140170811475849_7821315925135398653_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/185132447_6190898954260894_1845059438723151500_n.jpeg",,,new,published,,,,,,,
wc_post_id_1569,"Conjunto de overol color morado lila","Overol color morado lila con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172150152_1118487368619058_7227130378481211842_n.jpeg,https://malaelsv.com/product/malael-23/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1569,,"https://malaelsv.com/wp-content/uploads/2022/07/164987343_369957854711230_2901564610018496830_n.jpeg",,,new,published,,,,,,,
wc_post_id_1567,"Conjunto de overol color beige","Overol color beige con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172890591_274901504354764_1367933728988587287_n.jpeg,https://malaelsv.com/product/malael-22/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1567,,"https://malaelsv.com/wp-content/uploads/2022/07/175631362_119177733608666_382962184590780968_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/171650617_776539323066086_951615068062881086_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/164055246_484863699596934_207450945606298996_n.jpeg",,,new,published,,,,,,,
wc_post_id_1564,"Conjunto de overol color turquesa","Overol color turquesa con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/163633361_3866985130003575_3311723151313264373_n.jpeg,https://malaelsv.com/product/malael-21/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1564,,"https://malaelsv.com/wp-content/uploads/2022/07/168351659_195361268782404_456705230196881703_n.jpeg",,,new,published,,,,,,,
wc_post_id_1562,"Conjunto de overol color amarillo","Overol color amarillo con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/172174336_166149308624011_5173861069561224049_n.jpeg,https://malaelsv.com/product/malael-20/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1562,,"https://malaelsv.com/wp-content/uploads/2022/07/165678718_1673920459458176_1100095714929693419_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/163324910_1124554128014988_2130549924822405087_n.jpeg",,,new,published,,,,,,,
wc_post_id_1560,"Conjunto de overol color rojo","Overol color rojo con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/173491139_276924650701372_4471023882293493997_n.jpeg,https://malaelsv.com/product/malael-19/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1560,,"https://malaelsv.com/wp-content/uploads/2022/07/166773811_201086638089932_1004893482319755475_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/07/163385840_914053169348513_4083668294737912282_n.jpeg",,,new,published,,,,,,,
wc_post_id_1557,"Conjunto de overol color rosa","Overol color rosa con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/167665528_283827043272258_2734500502992121687_n.jpeg,https://malaelsv.com/product/malael-18/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1557,,"https://malaelsv.com/wp-content/uploads/2022/07/163528983_242574877564637_5414145836512305813_n.jpeg",,,new,published,,,,,,,
wc_post_id_1554,"Conjunto de overol color aqua","Overol color aqua con tirantes ajustables y blusa con mangas largas y despampanadas con detalle de moño.Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/07/162914769_1646538195547309_3880260572728036931_n.jpeg,https://malaelsv.com/product/malael-17/,"Conjuntos","Malael",49.75USD,in stock,wc_post_id_1554,,"https://malaelsv.com/wp-content/uploads/2022/07/172138016_1068207153704940_4130051517537242001_n.jpeg",,,new,published,,,,,,,
wc_post_id_1497,"Falda tableada con líneas color morado lila","Falda paletoneada color morado lila con cinta de rayas blancas con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/163252916_800102954248138_2327616171144805100_n.jpeg,https://malaelsv.com/product/malael-16/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1497,,"https://malaelsv.com/wp-content/uploads/2022/05/156570939_447327426466220_6200753489641502305_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/162851173_263374515285687_7212458042409324203_n-1.jpeg",,,new,published,,,,,,,
wc_post_id_1494,"Falda tableada con líneas color negro","Falda paletoneada color negro con cinta de rayas blancas con zíper lateral. Disponible en tallas XS,S,M,L,XL",https://malaelsv.com/wp-content/uploads/2022/05/155267065_220696823070395_5233871225762090400_n-1.jpeg,https://malaelsv.com/product/malael-15/,"Faldas","Malael",24.99USD,in stock,wc_post_id_1494,,"https://malaelsv.com/wp-content/uploads/2022/05/163980312_4063593813672699_830040969196790922_n.jpeg,https://malaelsv.com/wp-content/uploads/2022/05/161400987_4025990210814707_5348422025816734466_n.jpeg",,,new,published,,,,,,,
